"filename", "language", "C++", "Makefile", "C", "Python", "comment", "blank", "total"
"/Users/vesperal_kite/important_files/Graphitron/lib/0/libgraph/xcl/xcl.mk", "Makefile", 0, 3, 0, 0, 0, 2, 5
"/Users/vesperal_kite/important_files/Graphitron/lib/0/template/app/global_config.h", "C++", 20, 0, 0, 0, 1, 14, 35
"/Users/vesperal_kite/important_files/Graphitron/lib/0/template/kernel/ep_kernel.cpp", "C++", 18, 0, 0, 0, 3, 9, 30
"/Users/vesperal_kite/important_files/Graphitron/lib/0/template/kernel/ep_kernel.mk", "Makefile", 0, 8, 0, 0, 2, 2, 12
"/Users/vesperal_kite/important_files/Graphitron/lib/0/template/kernel/vp_kernel.cpp", "C++", 30, 0, 0, 0, 4, 5, 39
"/Users/vesperal_kite/important_files/Graphitron/lib/0/template/kernel/vp_kernel.mk", "Makefile", 0, 12, 0, 0, 2, 2, 16
"/Users/vesperal_kite/important_files/Graphitron/lib/1/libfpga/fpga_application.h", "C++", 11, 0, 0, 0, 6, 12, 29
"/Users/vesperal_kite/important_files/Graphitron/lib/1/libfpga/fpga_apply.h", "C++", 49, 0, 0, 0, 0, 13, 62
"/Users/vesperal_kite/important_files/Graphitron/lib/1/libfpga/fpga_cache.h", "C++", 667, 0, 0, 0, 16, 124, 807
"/Users/vesperal_kite/important_files/Graphitron/lib/1/libfpga/fpga_decoder.h", "C++", 527, 0, 0, 0, 0, 5, 532
"/Users/vesperal_kite/important_files/Graphitron/lib/1/libfpga/fpga_edge_prop.h", "C++", 90, 0, 0, 0, 0, 17, 107
"/Users/vesperal_kite/important_files/Graphitron/lib/1/libfpga/fpga_filter.h", "C++", 37, 0, 0, 0, 8, 12, 57
"/Users/vesperal_kite/important_files/Graphitron/lib/1/libfpga/fpga_gather.h", "C++", 96, 0, 0, 0, 3, 28, 127
"/Users/vesperal_kite/important_files/Graphitron/lib/1/libfpga/fpga_global_mem.h", "C++", 148, 0, 0, 0, 0, 48, 196
"/Users/vesperal_kite/important_files/Graphitron/lib/1/libfpga/fpga_gs_top.h", "C++", 160, 0, 0, 0, 12, 57, 229
"/Users/vesperal_kite/important_files/Graphitron/lib/1/libfpga/fpga_process_edge.h", "C++", 122, 0, 0, 0, 21, 40, 183
"/Users/vesperal_kite/important_files/Graphitron/lib/1/libfpga/fpga_raw_solver.h", "C++", 220, 0, 0, 0, 15, 32, 267
"/Users/vesperal_kite/important_files/Graphitron/lib/1/libfpga/fpga_slice.h", "C++", 127, 0, 0, 0, 0, 24, 151
"/Users/vesperal_kite/important_files/Graphitron/lib/1/libfpga/graph_fpga.h", "C++", 172, 0, 0, 0, 1, 79, 252
"/Users/vesperal_kite/important_files/Graphitron/lib/1/libgraph/common.h", "C++", 39, 0, 0, 0, 0, 25, 64
"/Users/vesperal_kite/important_files/Graphitron/lib/1/libgraph/host_graph_api.h", "C++", 26, 0, 0, 0, 3, 10, 39
"/Users/vesperal_kite/important_files/Graphitron/lib/1/libgraph/host_graph_data_structure.h", "C++", 78, 0, 0, 0, 0, 29, 107
"/Users/vesperal_kite/important_files/Graphitron/lib/1/libgraph/host_graph_dataflow.cpp", "C++", 96, 0, 0, 0, 2, 28, 126
"/Users/vesperal_kite/important_files/Graphitron/lib/1/libgraph/host_graph_partition.cpp", "C++", 296, 0, 0, 0, 55, 97, 448
"/Users/vesperal_kite/important_files/Graphitron/lib/1/libgraph/host_graph_sw.h", "C++", 14, 0, 0, 0, 0, 7, 21
"/Users/vesperal_kite/important_files/Graphitron/lib/1/libgraph/intrinsics.h", "C++", 50, 0, 0, 0, 4, 7, 61
"/Users/vesperal_kite/important_files/Graphitron/lib/1/libgraph/kernel/host_graph_kernel.cpp", "C++", 109, 0, 0, 0, 2, 33, 144
"/Users/vesperal_kite/important_files/Graphitron/lib/1/libgraph/kernel/host_graph_kernel.h", "C++", 6, 0, 0, 0, 0, 6, 12
"/Users/vesperal_kite/important_files/Graphitron/lib/1/libgraph/memory/he_mapping.cpp", "C++", 104, 0, 0, 0, 0, 14, 118
"/Users/vesperal_kite/important_files/Graphitron/lib/1/libgraph/memory/he_mem.cpp", "C++", 238, 0, 0, 0, 6, 34, 278
"/Users/vesperal_kite/important_files/Graphitron/lib/1/libgraph/memory/he_mem.h", "C++", 50, 0, 0, 0, 2, 29, 81
"/Users/vesperal_kite/important_files/Graphitron/lib/1/libgraph/memory/he_mem_attr.h", "C++", 15, 0, 0, 0, 0, 5, 20
"/Users/vesperal_kite/important_files/Graphitron/lib/1/libgraph/memory/he_mem_config.h", "C++", 155, 0, 0, 0, 9, 11, 175
"/Users/vesperal_kite/important_files/Graphitron/lib/1/libgraph/memory/he_mem_id.h", "C++", 38, 0, 0, 0, 2, 22, 62
"/Users/vesperal_kite/important_files/Graphitron/lib/1/libgraph/misc/data_helper.cpp", "C++", 95, 0, 0, 0, 0, 9, 104
"/Users/vesperal_kite/important_files/Graphitron/lib/1/libgraph/misc/graph.cpp", "C++", 157, 0, 0, 0, 3, 26, 186
"/Users/vesperal_kite/important_files/Graphitron/lib/1/libgraph/misc/graph.h", "C++", 71, 0, 0, 0, 2, 17, 90
"/Users/vesperal_kite/important_files/Graphitron/lib/1/libgraph/misc/host_graph_csv.hpp", "C++", 100, 0, 0, 0, 4, 18, 122
"/Users/vesperal_kite/important_files/Graphitron/lib/1/libgraph/misc/host_graph_mem.cpp", "C++", 96, 0, 0, 0, 1, 27, 124
"/Users/vesperal_kite/important_files/Graphitron/lib/1/libgraph/misc/host_graph_mem.h", "C++", 7, 0, 0, 0, 0, 3, 10
"/Users/vesperal_kite/important_files/Graphitron/lib/1/libgraph/misc/host_graph_misc_inner.h", "C++", 13, 0, 0, 0, 0, 5, 18
"/Users/vesperal_kite/important_files/Graphitron/lib/1/libgraph/scheduler/host_graph_scheduler.cpp", "C++", 51, 0, 0, 0, 0, 9, 60
"/Users/vesperal_kite/important_files/Graphitron/lib/1/libgraph/scheduler/host_graph_scheduler.h", "C++", 17, 0, 0, 0, 1, 18, 36
"/Users/vesperal_kite/important_files/Graphitron/lib/1/libgraph/scheduler/normal/scheduler.cpp", "C++", 44, 0, 0, 0, 0, 13, 57
"/Users/vesperal_kite/important_files/Graphitron/lib/1/libgraph/scheduler/secondOrderEstimator/scheduler.cpp", "C++", 118, 0, 0, 0, 0, 24, 142
"/Users/vesperal_kite/important_files/Graphitron/lib/1/libgraph/xcl/xcl.c", "C", 0, 0, 381, 0, 59, 99, 539
"/Users/vesperal_kite/important_files/Graphitron/lib/1/libgraph/xcl/xcl.h", "C++", 32, 0, 0, 0, 238, 21, 291
"/Users/vesperal_kite/important_files/Graphitron/lib/1/libgraph/xcl/xcl.mk", "Makefile", 0, 3, 0, 0, 0, 2, 5
"/Users/vesperal_kite/important_files/Graphitron/lib/1/template/app/build.mk", "Makefile", 0, 6, 0, 0, 3, 6, 15
"/Users/vesperal_kite/important_files/Graphitron/lib/1/template/app/config.mk", "Makefile", 0, 4, 0, 0, 0, 4, 8
"/Users/vesperal_kite/important_files/Graphitron/lib/1/template/app/global_config.h", "C++", 20, 0, 0, 0, 1, 14, 35
"/Users/vesperal_kite/important_files/Graphitron/lib/1/template/kernel/apply_kernel.cpp", "C++", 52, 0, 0, 0, 3, 43, 98
"/Users/vesperal_kite/important_files/Graphitron/lib/1/template/kernel/apply_kernel.mk", "Makefile", 0, 12, 0, 0, 2, 3, 17
"/Users/vesperal_kite/important_files/Graphitron/lib/1/template/kernel/gs_kernel.cpp", "C++", 184, 0, 0, 0, 12, 69, 265
"/Users/vesperal_kite/important_files/Graphitron/lib/1/template/kernel/gs_kernel.mk", "Makefile", 0, 13, 0, 0, 1, 1, 15
"/Users/vesperal_kite/important_files/Graphitron/src/backend/backend.cpp", "C++", -11, 0, 0, 0, -31, -2, -44
"/Users/vesperal_kite/important_files/Graphitron/src/backend/codegen_alpha.cpp", "C++", -514, 0, 0, 0, -3, -40, -557
"/Users/vesperal_kite/important_files/Graphitron/src/backend/codegen_ecp.cpp", "C++", -365, 0, 0, 0, -11, -39, -415
"/Users/vesperal_kite/important_files/Graphitron/src/backend/gen_Apply_decl.cpp", "C++", -57, 0, 0, 0, -3, -5, -65
"/Users/vesperal_kite/important_files/Graphitron/src/backend/gen_Expr.cpp", "C++", -306, 0, 0, 0, -5, -40, -351
"/Users/vesperal_kite/important_files/Graphitron/src/backend/gen_ScatterGather_decl.cpp", "C++", -133, 0, 0, 0, -7, -9, -149
"/Users/vesperal_kite/important_files/Graphitron/src/backend/gen_Stmt.cpp", "C++", -177, 0, 0, 0, -4, -10, -191
"/Users/vesperal_kite/important_files/Graphitron/src/backend/gen_Type.cpp", "C++", -43, 0, 0, 0, -5, -8, -56
"/Users/vesperal_kite/important_files/Graphitron/src/default_schedule.cpp", "C++", -5, 0, 0, 0, 0, -2, -7
"/Users/vesperal_kite/important_files/Graphitron/src/frontend/error.cpp", "C++", -80, 0, 0, 0, -7, -18, -105
"/Users/vesperal_kite/important_files/Graphitron/src/frontend/fir.cpp", "C++", -18, 0, 0, 0, -3, -6, -27
"/Users/vesperal_kite/important_files/Graphitron/src/frontend/fir_printer.cpp", "C++", -520, 0, 0, 0, -4, -116, -640
"/Users/vesperal_kite/important_files/Graphitron/src/frontend/fir_visitor.cpp", "C++", -249, 0, 0, 0, -4, -62, -315
"/Users/vesperal_kite/important_files/Graphitron/src/frontend/frontend.cpp", "C++", -18, 0, 0, 0, -6, -9, -33
"/Users/vesperal_kite/important_files/Graphitron/src/frontend/parser.cpp", "C++", -1119, 0, 0, 0, -127, -264, -1510
"/Users/vesperal_kite/important_files/Graphitron/src/frontend/scanner.cpp", "C++", -390, 0, 0, 0, -14, -29, -433
"/Users/vesperal_kite/important_files/Graphitron/src/frontend/token.cpp", "C++", -255, 0, 0, 0, -4, -31, -290
"/Users/vesperal_kite/important_files/Graphitron/src/graphitronc.py", "Python", 0, 0, 0, -76, -10, -26, -112
"/Users/vesperal_kite/important_files/Graphitron/src/main.cpp", "C++", -48, 0, 0, 0, -10, -16, -74
"/Users/vesperal_kite/important_files/Graphitron/src/midend/configuration_lower.cpp", "C++", -44, 0, 0, 0, -11, -10, -65
"/Users/vesperal_kite/important_files/Graphitron/src/midend/edgeset_lower.cpp", "C++", -23, 0, 0, 0, -3, -2, -28
"/Users/vesperal_kite/important_files/Graphitron/src/midend/midend.cpp", "C++", -163, 0, 0, 0, -3, -2, -168
"/Users/vesperal_kite/important_files/Graphitron/src/midend/mir.cpp", "C++", -5, 0, 0, 0, -3, -3, -11
"/Users/vesperal_kite/important_files/Graphitron/src/midend/mir_context.cpp", "C++", -3, 0, 0, 0, -3, -2, -8
"/Users/vesperal_kite/important_files/Graphitron/src/midend/mir_emitter.cpp", "C++", -750, 0, 0, 0, -53, -155, -958
"/Users/vesperal_kite/important_files/Graphitron/src/midend/mir_lower.cpp", "C++", -12, 0, 0, 0, -3, -2, -17
"/Users/vesperal_kite/important_files/Graphitron/src/midend/mir_printer.cpp", "C++", -35, 0, 0, 0, -3, -9, -47
"/Users/vesperal_kite/important_files/Graphitron/src/midend/mir_visitor.cpp", "C++", -203, 0, 0, 0, -4, -50, -257
"/Users/vesperal_kite/important_files/Graphitron/src/midend/mri_rewriter.cpp", "C++", -13, 0, 0, 0, -3, -3, -19
"/Users/vesperal_kite/important_files/Graphitron/src/midend/parameter.cpp", "C++", -212, 0, 0, 0, -3, -53, -268
"/Users/vesperal_kite/important_files/Graphitron/src/midend/parameter_space.cpp", "C++", -52, 0, 0, 0, -3, -2, -57
"/Users/vesperal_kite/important_files/Graphitron/src/midend/prop_array_lower.cpp", "C++", -20, 0, 0, 0, -3, -2, -25
"/Users/vesperal_kite/important_files/Graphitron/src/utils/exec_cmd.cpp", "C++", -13, 0, 0, 0, -3, -2, -18
"/Users/vesperal_kite/important_files/Graphitron/src/utils/util.cpp", "C++", -166, 0, 0, 0, -5, -22, -193
"Total", "-", 2477, 61, 762, -76, 582, 1135, 4941
